title,author,date,source,url,filename
and why is everyone talking about it?,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/c5yv5976z9po,and_why_is_everyone_talking_about_it?.txt
DeepSeek: What lies under the bonnet of the new AI chatbot?,Unknown,2025-01-31,BBC,https://www.bbc.com/future/article/20250131-what-does-deepseeks-new-app-mean-for-the-future-of-ai,DeepSeek:_What_lies_under_the_bonnet_of_the_new_AI.txt
Australia bans DeepSeek on government devices over security risk,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/c8d95v0nr1yo,Australia_bans_DeepSeek_on_government_devices_over.txt
'DeepSeek brought me to tears': How young Chinese find therapy in AI,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/cy7g45g2nxno,'DeepSeek_brought_me_to_tears':_How_young_Chinese_.txt
South Korea bans new downloads of China's DeepSeek AI,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/clyzym0vn8go,South_Korea_bans_new_downloads_of_China's_DeepSeek.txt
DeepSeek 'shared user data' with TikTok owner ByteDance,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/c4gex0x87g4o,DeepSeek_'shared_user_data'_with_TikTok_owner_Byte.txt
Nvidia shares sink as Chinese AI app DeepSeek spooks US markets,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/c0qw7z2v1pgo,Nvidia_shares_sink_as_Chinese_AI_app_DeepSeek_spoo.txt
DeepSeek shows AI's centre of power could shift away from US,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/c9w5d9new0yo,DeepSeek_shows_AI's_centre_of_power_could_shift_aw.txt
DeepSeek vs ChatGPT - how do they compare?,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/cqx9zn27700o,DeepSeek_vs_ChatGPT_-_how_do_they_compare?.txt
"Be careful with DeepSeek, Australia says - so is it safe to use?",Unknown,Unknown,BBC,https://www.bbc.com/news/articles/cx2k7r5nrvpo,"Be_careful_with_DeepSeek,_Australia_says_-_so_is_i.txt"
"India AI: As DeepSeek and ChatGPT surge, is Delhi falling behind?",Unknown,Unknown,BBC,https://www.bbc.com/news/articles/cp8qglr9r74o,"India_AI:_As_DeepSeek_and_ChatGPT_surge,_is_Delhi_.txt"
Nvidia says AI chip sales strong despite DeepSeek fears,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/c17qqgwdk78o,Nvidia_says_AI_chip_sales_strong_despite_DeepSeek_.txt
Nvidia and Microsoft shares steady after DeepSeek AI app shock,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/c4gpq01rvd4o,Nvidia_and_Microsoft_shares_steady_after_DeepSeek_.txt
OpenAI says Chinese rivals using its work for their AI apps,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/c9vm1m8wpr9o,OpenAI_says_Chinese_rivals_using_its_work_for_thei.txt
DeepSeek AI shakes American swagger and upends assumptions,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/cd643wx888qo,DeepSeek_AI_shakes_American_swagger_and_upends_ass.txt
DeepSeek: Is China's AI tool as good as it seems?,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/cx2jxvn0r51o,DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?.txt
DeepSeek: How China's 'AI heroes' overcame US curbs to stun Silicon Valley,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/czepw096wy4o,DeepSeek:_How_China's_'AI_heroes'_overcame_US_curb.txt
UK will not be able to resist China's tech dominance,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/c0rq0vyd549o,UK_will_not_be_able_to_resist_China's_tech_dominan.txt
World leaders set to vie for AI domination at Paris summit,Unknown,Unknown,BBC,https://www.bbc.com/news/articles/c17evw0k8g8o,World_leaders_set_to_vie_for_AI_domination_at_Pari.txt
