title,author,date,source,url,filename
China’s DeepSeek Surprise,Matteo Wong,2025-01-27,The Atlantic,https://www.theatlantic.com/technology/archive/2025/01/deepseek-china-ai/681481/,China’s_DeepSeek_Surprise.txt
What Is AI Distillation?,Damon Beres,2025-02-07,The Atlantic,https://www.theatlantic.com/newsletters/archive/2025/02/what-is-ai-distillation/681616/,What_Is_AI_Distillation?.txt
The DeepSeek Wake-Up Call,Matteo Wong,2025-01-30,The Atlantic,https://www.theatlantic.com/newsletters/archive/2025/01/the-deepseek-wake-up-call/681512/,The_DeepSeek_Wake-Up_Call.txt
DeepSeek’s Chatbot Has an Important Message,James Surowiecki,2025-01-31,The Atlantic,https://www.theatlantic.com/ideas/archive/2025/01/deepseek-ai-investment-tech/681516/,DeepSeek’s_Chatbot_Has_an_Important_Message.txt
Is DeepSeek China’s Sputnik Moment?,John Cassidy,2025-02-03,The New Yorker,https://www.newyorker.com/news/the-financial-page/is-deepseek-chinas-sputnik-moment,Is_DeepSeek_China’s_Sputnik_Moment?.txt
Global AI rivalry is a dangerous game,Unknown,2025-07-29,Financial Times,https://www.ft.com/content/9f5cbee8-b09c-4274-bda9-7245ca97352e,Global_AI_rivalry_is_a_dangerous_game.txt
DeepSeek is decoding Chinese destiny,Unknown,2025-07-23,Financial Times,https://www.ft.com/content/0c497603-0f97-4b85-a52f-019e24329a75,DeepSeek_is_decoding_Chinese_destiny.txt
DeepSeek focuses on research over revenue in contrast to Silicon Valley,Unknown,2025-03-14,Financial Times,https://www.ft.com/content/fb5c11bb-1d4b-465f-8283-451a19a3d425,DeepSeek_focuses_on_research_over_revenue_in_contr.txt
US House panel probes whether DeepSeek used restricted Nvidia chips,Unknown,2025-04-17,Financial Times,https://www.ft.com/content/04512d41-70a7-4b53-8b50-0c9d28c7b80e,US_House_panel_probes_whether_DeepSeek_used_restri.txt
DeepSeek spreads across China with Beijing’s backing,"Eleanor Olcott, Wenjie Ding",2025-02-27,Financial Times,https://www.ft.com/content/5684fb1f-1a84-4542-8fe9-2fcae9653f87,DeepSeek_spreads_across_China_with_Beijing’s_backi.txt
Here’s what the sellside is saying about DeepSeek,Unknown,2025-01-27,Financial Times,https://www.ft.com/content/c82933fe-be28-463b-8336-d71a2ff5bbbf,Here’s_what_the_sellside_is_saying_about_DeepSeek.txt
The story behind DeepSeek’s breakthrough,Unknown,2025-02-19,Financial Times,https://www.ft.com/content/837a9ac7-be8b-476f-bf66-f03443caef11,The_story_behind_DeepSeek’s_breakthrough.txt
"What’s DeepSeek, China’s AI startup sending shockwaves through global tech?",John Power,2025-01-28,Al Jazeera,https://www.aljazeera.com/economy/2025/1/28/why-chinas-ai-startup-deepseek-is-sending-shockwaves-through-global-tech,"What’s_DeepSeek,_China’s_AI_startup_sending_shockw.txt"
China’s DeepSeek faces questions over claims after shaking up global tech,John Power,2025-01-29,Al Jazeera,https://www.aljazeera.com/news/2025/1/29/ai-game-changer-or-overhyped-deepseek-faces-scrutiny-over-bold-claims,China’s_DeepSeek_faces_questions_over_claims_after.txt
Which countries have banned DeepSeek and why?,Al Jazeera Staff,2025-02-06,Al Jazeera,https://www.aljazeera.com/news/2025/2/6/which-countries-have-banned-deepseek-and-why,Which_countries_have_banned_DeepSeek_and_why?.txt
"DeepSeek transferred data without consent, South Korean watchdog says",Unknown,2025-04-24,Al Jazeera,https://www.aljazeera.com/economy/2025/4/24/deepseek-transferred-data-without-consent-south-korean-watchdog-says,"DeepSeek_transferred_data_without_consent,_South_K.txt"
South Korea removes DeepSeek from app stores pending privacy review,Unknown,2025-02-17,Al Jazeera,https://www.aljazeera.com/news/2025/2/17/south-korea-removes-deepseek-from-app-stores-pending-privacy-review,South_Korea_removes_DeepSeek_from_app_stores_pendi.txt
"China’s DeepSeek causes rout among AI-linked stocks, Nvidia shares tumble",Unknown,2025-01-27,Al Jazeera,https://www.aljazeera.com/economy/2025/1/27/chinas-deepseek-causes-rout-among-ai-linked-stocks,China’s_DeepSeek_causes_rout_among_AI-linked_stock.txt
"Chinese start-up DeepSeek launches AI model that outperforms Meta, OpenAI products",Ben Jiang,2024-12-27,South China Morning Post,https://www.scmp.com/tech/tech-trends/article/3292507/chinese-start-deepseek-launches-ai-model-outperforms-meta-openai-products,Chinese_start-up_DeepSeek_launches_AI_model_that_o.txt
"Tech war in 2024: China catches up fast in AI race, but US chip curbs cast shadow",Ben Jiang,2024-12-28,South China Morning Post,https://www.scmp.com/tech/big-tech/article/3292447/tech-war-2024-china-catches-fast-ai-race-us-chip-curbs-cast-shadow,Tech_war_in_2024:_China_catches_up_fast_in_AI_race.txt
Meet DeepSeek: the Chinese start-up that is changing how AI models are trained,Ben Jiang,2025-01-01,South China Morning Post,https://www.scmp.com/tech/tech-trends/article/3293050/meet-deepseek-chinese-start-changing-how-ai-models-are-trained,Meet_DeepSeek:_the_Chinese_start-up_that_is_changi.txt
China’s AI disrupter DeepSeek bets on low-key team of ‘young geniuses’ to beat US giants,Ben Jiang,2025-01-12,South China Morning Post,https://www.scmp.com/tech/big-tech/article/3294357/chinas-ai-disrupter-deepseek-bets-low-key-team-young-geniuses-beat-us-giants,China’s_AI_disrupter_DeepSeek_bets_on_low-key_team.txt
