Word,Frequency
ai,1065
deepseek,949
say,597
model,569
u,458
company,410
chinese,406
china,344
tech,293
use,276
openai,237
chip,218
technology,198
data,189
app,188
also,186
new,175
make,171
market,170
chatgpt,160
government,153
one,153
nvidia,149
could,142
question,138
year,137
like,137
cost,136
trump,131
call,130
firm,130
industry,129
may,128
world,123
intelligence,122
startup,117
build,115
last,112
stock,112
monday,110
power,108
chatbot,108
much,107
would,107
google,107
take,107
people,107
lead,107
see,106
week,104
information,102
artificial,102
less,101
release,100
big,98
user,95
train,95
american,94
need,94
many,93
time,92
state,90
think,89
give,87
claim,87
include,87
ban,85
research,84
share,83
investor,83
come,82
newsletter,81
image,81
liang,81
free,79
country,78
launch,78
go,78
privacy,77
report,77
access,77
security,77
develop,77
tell,75
work,75
billion,75
ask,72
concern,72
get,72
answer,71
valley,70
silicon,70
store,70
fund,70
day,69
meta,68
first,68
write,68
well,68
large,68
around,67
global,67
month,67
fraction,67
policy,66
investment,65
service,65
export,65
national,65
two,64
response,64
even,64
late,63
compute,62
development,62
giant,62
top,62
advance,62
bn,61
accord,61
rival,61
mean,60
good,60
far,60
president,60
become,59
powerful,58
center,58
know,58
deepseeks,58
party,57
microsoft,56
way,56
version,54
reason,54
already,53
race,53
analyst,52
medium,52
show,52
system,52
news,52
january,52
add,52
money,51
donald,51
university,51
really,51
apple,50
create,50
moment,49
expert,49
value,48
product,48
ceo,48
control,48
sign,48
still,48
point,47
open,47
musk,47
performance,47
raise,47
computer,46
business,46
cheap,46
able,46
appear,45
whether,45
capability,45
online,45
thing,45
content,45
look,44
restriction,44
seem,43
sam,43
spend,43
lot,43
competitor,43
taiwan,43
device,42
software,42
help,42
try,42
united,42
million,42
since,42
platform,42
high,42
post,41
behind,41
view,41
term,41
past,41
altman,41
researcher,40
kevin,40
demand,40
another,40
future,40
breakthrough,39
outside,39
comment,39
might,39
beijing,39
resource,39
price,39
something,39
personal,39
download,39
tool,38
believe,38
south,38
america,38
provide,38
tiktok,37
impact,37
potential,37
remain,37
respond,37
send,36
result,36
contain,36
fear,36
advertisement,36
similar,36
however,36
wall,36
follow,36
shock,35
developer,35
talk,35
chatbots,35
executive,35
success,35
tuesday,35
dollar,35
end,34
energy,34
advanced,34
happen,34
street,34
language,34
without,34
find,34
process,34
risk,33
require,33
australia,33
plan,33
base,33
fact,33
leader,33
political,33
source,33
recent,33
long,33
want,33
possible,33
sector,33
human,32
founder,32
ad,32
challenge,32
offer,32
next,32
protect,32
support,32
wakeup,32
assistant,32
invest,32
opensource,31
keep,31
part,31
run,31
rise,31
law,31
info,30
low,30
innovation,30
put,30
hedge,30
technical,30
great,30
achieve,30
charity,30
announce,30
promotion,30
small,30
significant,30
uk,30
email,29
impressive,29
interview,29
house,29
roose,29
found,29
expect,29
despite,29
wenfeng,29
sputnik,29
public,29
available,29
llm,29
major,29
paper,28
describe,28
few,28
website,28
social,28
topic,28
change,27
task,27
gemini,27
approach,27
tiananmen,27
consider,27
official,27
number,27
start,27
problem,27
infrastructure,27
chief,27
sensitive,27
enter,27
best,27
earlier,27
issue,27
program,27
capital,26
quickly,26
compare,26
address,26
ability,26
across,26
compete,26
getty,26
bbc,26
produce,26
protection,26
generative,26
team,26
dominance,26
different,25
agency,25
white,25
among,25
training,25
suggest,25
right,25
weekly,25
administration,25
deliver,25
focus,25
word,25
history,25
per,25
maybe,25
learn,25
back,25
allow,25
close,25
operate,25
save,25
amount,25
although,24
square,24
panic,24
place,24
andreessen,24
korea,24
continue,24
lose,23
move,23
cause,23
wipe,23
application,23
technological,23
western,23
grow,23
huge,23
maker,23
within,23
real,23
percent,23
water,23
xi,23
least,23
second,22
engineer,22
turn,22
face,22
elon,22
guardian,22
play,22
venture,22
talent,22
rather,22
group,22
key,22
boom,22
drop,22
block,22
though,22
study,22
video,22
due,22
nearly,22
several,22
wang,22
set,22
trade,22
fell,22
apply,22
let,21
force,21
anthropic,21
gpt,21
highflyer,21
apps,21
marc,21
ago,21
cnn,21
current,21
emergence,21
particularly,21
semiconductor,21
almost,21
threat,21
request,21
former,21
code,21
yet,21
washington,21
biden,21
science,21
player,21
achievement,21
early,21
employee,20
begin,20
case,20
alibaba,20
else,20
index,20
announcement,20
hangzhou,20
others,20
increase,20
field,20
detail,20
general,20
tn,20
limit,20
selloff,20
wave,20
efficient,20
home,20
progress,20
communist,20
kitroeff,20
natalie,20
seek,20
fullscreen,20
saw,20
note,20
read,19
implication,19
actually,19
english,19
rule,19
test,19
mr,19
interest,19
chinas,19
scientist,19
financial,19
fall,19
pay,19
whose,19
international,19
budget,19
example,19
spending,19
review,19
project,19
do,19
professor,19
massive,19
capable,19
sale,18
alphabet,18
parent,18
profit,18
hold,18
internet,18
morning,18
enough,18
complex,18
consumer,18
web,18
clear,18
economic,18
name,18
meanwhile,18
community,18
immediately,18
photograph,18
engineering,18
ahead,18
bytedance,17
hundred,17
sport,17
cloud,17
return,17
order,17
lemon,17
baidu,17
kind,17
win,17
trading,17
hong,17
scale,17
strong,17
roughly,17
exist,17
exactly,17
drive,17
doubt,17
chart,17
estimate,17
generate,17
recently,17
openais,17
local,17
surprise,17
entrepreneur,17
likely,17
notice,17
thousand,16
ever,16
reportedly,16
distil,16
shift,16
event,16
cofounder,16
india,16
cite,16
refer,16
gain,16
match,16
cod,16
plunge,16
comparable,16
often,16
military,16
widely,16
private,16
hit,16
distillation,16
collect,16
story,16
blackwell,16
record,16
expensive,16
skip,15
city,15
popularity,15
jinping,15
department,15
life,15
hardware,15
design,15
recaptcha,15
gpus,15
economy,15
remove,15
censor,15
authority,15
method,15
commission,15
protest,15
caution,15
prevent,15
anyone,15
beyond,15
deepseekr,15
speak,15
single,15
customer,15
summit,15
push,15
prompt,15
february,15
deep,15
warn,15
arrival,15
important,15
publish,15
tumble,15
analysis,15
step,15
kong,15
cuttingedge,15
head,15
certain,15
assumption,14
digital,14
list,14
chat,14
live,14
buy,14
spark,14
photo,14
nation,14
cent,14
positive,14
feel,14
stargate,14
sudden,14
mark,14
game,14
supply,14
man,14
reveal,14
bot,14
programme,14
secretary,14
attempt,14
action,14
oracle,14
minister,14
young,14
outlet,14
strategy,14
thats,14
emerge,14
link,14
pull,14
subject,14
evidence,14
owner,13
server,13
leadership,13
along,13
certainly,13
previously,13
nasdaq,13
bet,13
charge,13
llama,13
competitive,13
december,13
decade,13
significantly,13
rapidly,13
pose,13
rapid,13
capitalist,13
search,13
especially,13
centre,13
effort,13
idea,13
dominate,13
whole,13
quality,13
dive,13
attack,13
italy,13
typically,13
restrict,13
popular,13
softbank,13
building,13
shape,13
temporarily,13
potentially,13
away,13
impose,12
book,12
every,12
decision,12
lunar,12
york,12
