document,rank,term,tfidf
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",1,america,0.16423965092132403
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",2,industry,0.1488401862739453
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",3,spend,0.13896120418466026
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",4,company,0.13877932423422992
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",5,capabilities,0.1147777395246274
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",6,development,0.11343792018028687
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",7,leaving,0.11313473459347699
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",8,leadership,0.11233617021876954
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",9,chips,0.10721535344812681
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",10,doubled,0.10403861699393693
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,1,o1,0.2626894419484073
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,2,ranked,0.2372619020131724
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,3,reasoning,0.233175964871776
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,4,unlimited,0.20465120469909626
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,5,arena,0.1941529050398273
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,6,series,0.1783227977108462
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,7,chatbot,0.1679545702436237
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,8,app,0.1469579709250858
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,9,open,0.13775509095745628
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,10,r1,0.12462167871657392
Which_countries_have_banned_DeepSeek_and_why?,1,programmes,0.23649723367088712
Which_countries_have_banned_DeepSeek_and_why?,2,information,0.21945230167749868
Which_countries_have_banned_DeepSeek_and_why?,3,government,0.21758723953765688
Which_countries_have_banned_DeepSeek_and_why?,4,security,0.19933288034779098
Which_countries_have_banned_DeepSeek_and_why?,5,programme,0.1864137244530811
Which_countries_have_banned_DeepSeek_and_why?,6,devices,0.16229373745504105
Which_countries_have_banned_DeepSeek_and_why?,7,users,0.16071381102351145
Which_countries_have_banned_DeepSeek_and_why?,8,countries,0.14962447057922712
Which_countries_have_banned_DeepSeek_and_why?,9,data,0.14900097328051398
Which_countries_have_banned_DeepSeek_and_why?,10,blocked,0.14225359428902423
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,1,nvidia,0.23138995388120354
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,2,luria,0.19703459813410984
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,3,street,0.18716620246618185
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,4,wall,0.18425009156712197
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,5,broader,0.1610359152695022
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,6,money,0.14469585895829712
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,7,maybe,0.12077693645212667
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,8,launching,0.11652197977134128
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,9,power,0.11625412325024889
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,10,need,0.10872915925356084
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,1,technologies,0.33278604034554865
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,2,generated,0.28908645718964415
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,3,distillation,0.2351935578220882
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,4,systems,0.1891282978258359
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,5,data,0.1705494942105746
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,6,bourgeois,0.1675758585929482
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,7,liz,0.1675758585929482
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,8,spokeswoman,0.1675758585929482
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,9,terms,0.15517978612227706
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,10,157,0.15410263375105923
They_Invested_Billions._Then_the_A.I._Script_Got_F,1,jacobs,0.4046834072304868
They_Invested_Billions._Then_the_A.I._Script_Got_F,2,radical,0.26978893815365784
They_Invested_Billions._Then_the_A.I._Script_Got_F,3,ventures,0.26978893815365784
They_Invested_Billions._Then_the_A.I._Script_Got_F,4,mr,0.17393488889721123
They_Invested_Billions._Then_the_A.I._Script_Got_F,5,venture,0.14935121274443616
They_Invested_Billions._Then_the_A.I._Script_Got_F,6,capital,0.14150834271768614
They_Invested_Billions._Then_the_A.I._Script_Got_F,7,toppled,0.13489446907682892
They_Invested_Billions._Then_the_A.I._Script_Got_F,8,longstanding,0.13489446907682892
They_Invested_Billions._Then_the_A.I._Script_Got_F,9,fiction,0.13489446907682892
They_Invested_Billions._Then_the_A.I._Script_Got_F,10,repercussions,0.13489446907682892
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",1,baidu,0.4296294447397675
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",2,ernie,0.21123036742039392
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",3,premium,0.18366707935139714
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",4,zhipu,0.16890010827971452
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",5,bot,0.13804166264966886
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",6,users,0.13237700742141317
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",7,contenders,0.12244471956759809
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",8,kong,0.12158044042937341
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",9,alibaba,0.12158044042937341
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",10,hong,0.12158044042937341
DeepSeek_banned_from_Australian_government_devices,1,government,0.31089136785735344
DeepSeek_banned_from_Australian_government_devices,2,agencies,0.2032537137982572
DeepSeek_banned_from_Australian_government_devices,3,albanese,0.1997626948589013
DeepSeek_banned_from_Australian_government_devices,4,security,0.18309170009153725
DeepSeek_banned_from_Australian_government_devices,5,australia,0.17787795487761687
DeepSeek_banned_from_Australian_government_devices,6,devices,0.1739154906531677
DeepSeek_banned_from_Australian_government_devices,7,affairs,0.16990557868821793
DeepSeek_banned_from_Australian_government_devices,8,federal,0.16326558232889604
DeepSeek_banned_from_Australian_government_devices,9,national,0.1487970605195864
DeepSeek_banned_from_Australian_government_devices,10,risk,0.1437964526469207
DeepSeek_AI_shakes_American_swagger_and_upends_ass,1,wondered,0.2013610888751723
DeepSeek_AI_shakes_American_swagger_and_upends_ass,2,developers,0.16121157121627994
DeepSeek_AI_shakes_American_swagger_and_upends_ass,3,questioned,0.15134023799712082
