file,text,sentiment,compound
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo.txt","CNN —

A surprisingly efficient and powerful Chinese AI model has taken the technology industry by storm. It’s called DeepSeek R1, and it’s rattling nerves on Wall Street.

The new AI model was developed by DeepSeek, a startup that was born just a year ago and has somehow managed a breakthrough that famed tech investor Marc Andreessen has called “AI’s Sputnik moment”: R1 can nearly match the capabilities of its far more famous rivals, including OpenAI’s GPT-4, Meta’s Llama and Google’s Gemini — but at a fraction of the cost.

The company said it had spent just $5.6 million powering its base AI model, compared with the hundreds of millions, if not billions of dollars US companies spend on their AI technologies. That’s even more shocking when considering that the United States has worked for years to restrict the supply of high-power AI chips to China, citing national security concerns. That means DeepSeek was supposedly able to achieve its low-cost model on relatively under-powered AI chips.

What is DeepSeek?

The company, founded in late 2023 by Chinese hedge fund manager Liang Wenfeng, is one of scores of startups that have popped up in recent years﻿ seeking big investment to ride the massive AI wave that has taken the tech industry to new heights.

Liang has become the Sam Altman of China — an evangelist for AI technology and investment in new research. His hedge fund, High-Flyer, focuses on AI development.

Like other AI startups, including Anthropic and Perplexity, DeepSeek released various competitive AI models over the past year that have captured some industry attention. Its V3 model raised some awareness about the company, although its content restrictions around sensitive topics about the Chinese government and its leadership sparked doubts about its viability as an industry competitor, the Wall Street Journal reported.

But R1, which came out of nowhere when it was revealed late last year, launched last week and gained significant attention this week when the company revealed to the Journal its shockingly low cost of operation. And it is open-source, which means other companies can test and build upon the model to improve it.

The DeepSeek app has surged on the app store charts, surpassing ChatGPT Monday, and it has been downloaded nearly 2 million times.

Why is DeepSeek such a big deal?

AI is a power-hungry and cost-intensive technology — so much so that America’s most powerful tech leaders are buying up nuclear power companies to provide the necessary electricity for their AI models.

Meta last week said it would spend upward of $65 billion this year on AI development. Sam Altman, CEO of OpenAI, last year said the AI industry would need trillions of dollars in investment to support the development of high-in-demand chips needed to power the electricity-hungry data centers that run the sector’s complex models.

So the notion that similar capabilities as America’s most powerful AI models can be achieved for such a small fraction of the cost — and on less capable chips — represents a sea change in the industry’s understanding of how much investment is needed in AI. The technology has many skeptics and opponents, but its advocates promise a bright future: AI will advance the global economy into a new era, they argue, making work more efficient and opening up new capabilities across multiple industries that will pave the way for new research and developments.

Andreessen, a Trump supporter and co-founder of Silicon Valley venture capital firm Andreessen Horowitz, called DeepSeek “one of the most amazing and impressive breakthroughs I’ve ever seen,” in a post on X.

If that potentially world-changing power can be achieved at a significantly reduced cost, it opens up new possibilities — and threats — to the planet.

What does this mean for America?

The United States thought it could sanction its way to dominance in a key technology it believes will help bolster its national security. Just a week before leaving office, former President Joe Biden doubled down on export restrictions on AI computer chips to prevent rivals like China from accessing the advanced technology.

But DeepSeek has called into question that notion, and threatened the aura of invincibility surrounding America’s technology industry. America may have bought itself time with restrictions on chip exports, but its AI lead just shrank dramatically despite those actions.

DeepSeek may show that turning off access to a key technology doesn’t necessarily mean the United States will win. That’s an important message to President Donald Trump as he pursues his isolationist “America First” policy.

Wall Street was alarmed by the development. US stocks were set for a steep selloff Monday morning. Nvidia (NVDA), the leading supplier of AI chips, whose stock more than doubled in each of the past two years, fell 12% in premarket trading. Meta (META) and Alphabet (GOOGL), Google’s parent company, were also down sharply, as were Marvell, Broadcom, Palantir, Oracle and many other tech giants.

Are we really sure this is a big deal?

The industry is taking the company at its word that the cost was so low. No one is really disputing it, but the market freak-out hinges on the truthfulness of a single and relatively unknown company. The company notably didn’t say how much it cost to train its model, leaving out potentially expensive research and development costs. (Still, it probably didn’t spend billions of dollars.)

It’s also far too early to count out American tech innovation and leadership. One achievement, albeit a gobsmacking one, may not be enough to counter years of progress in American AI leadership. And a massive customer shift to a Chinese startup is unlikely.

“The DeepSeek model rollout is leading investors to question the lead that US companies have and how much is being spent and whether that spending will lead to profits (or overspending),” said Keith Lerner, analyst at Truist. “Ultimately, our view, is the required spend for data and such in AI will be significant, and US companies remain leaders.”

Although the cost-saving achievement may be significant, the R1 model is a ChatGPT competitor — a consumer-focused large-language model. It hasn’t yet proven it can handle some of the massively ambitious AI capabilities for industries that — for now — still require tremendous infrastructure investments.

“Thanks to its rich talent and capital base, the US remains the most promising ‘home turf’ from which we expect to see the emergence of the first self-improving AI,” said Giuseppe Sette, president of AI market research firm Reflexivity.","{'neg': 0.035, 'neu': 0.848, 'pos': 0.117, 'compound': 0.9984}",0.9984
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U.txt,"Chinese artificial intelligence (AI) start-up DeepSeek’s chatbot app has dethroned OpenAI’s ChatGPT to claim the top spot on the US iOS App Store, a development that could potentially change the AI landscape due to its open-sourced approach.

Advertisement

DeepSeek’s namesake AI chatbot, which was released in the US App Store on January 10 and is free to use, skyrocketed in popularity in the US after the Chinese firm’s subsequent launch of its R1 open-source reasoning model.

The release of DeepSeek’s R1 reasoning model attracted widespread attention in the global tech community, owing to a combination of performance and cost that undercuts its US rivals like OpenAI’s o1 series of reasoning models. On its website, DeepSeek said the model rivals OpenAI’s o1.

DeepSeek founder Liang Wenfeng (right) was invited to meet Chinese Premier Li Qiang last week. Photo: CCTV

DeepSeek has integrated the reasoning model into the web and app versions of its chatbots for unlimited use at no cost.

In comparison, OpenAI charges US$200 per month for unlimited access to its o1 models, or a minimum of a US$20 monthly fee for a standard plan that includes limited access.

R1 was ranked No 3 by Chatbot Arena, a benchmarking project from AI researchers at UC Berkeley who evaluate an AI model’s performance.

Advertisement

It trails only two models from Google’s Gemini family, ranks higher than a series of OpenAI’s o1 models, and is currently the highest-ranked open-source model by Chatbot Arena.","{'neg': 0.033, 'neu': 0.902, 'pos': 0.065, 'compound': 0.8481}",0.8481
Which_countries_have_banned_DeepSeek_and_why?.txt,"DeepSeek is banned on government devices in South Korea, Australia and Taiwan. More countries might follow suit.

What’s DeepSeek and why is it sending shockwaves through global tech?

This week, government agencies in countries including South Korea and Australia have blocked access to Chinese artificial intelligence (AI) startup DeepSeek’s new AI chatbot programme, mostly for government employees.

Other countries, including the United States, have said they may also seek to block DeepSeek from government employees’ mobile devices, according to media reports. All cite “security concerns” about the Chinese technology and a lack of clarity about how users’ personal information is handled by the operator.

Last month, DeepSeek made headlines after it caused share prices in US tech companies to plummet, after it claimed that its model would cost only a fraction of the money its competitors had spent on their own AI programmes to build. The news caused social media users to joke: “I can’t believe ChatGPT lost its job to AI.”

Here’s what we know about DeepSeek and why countries are banning it.

What is DeepSeek?

DeepSeek is a Chinese AI startup. Based in Hangzhou city, it was founded by entrepreneur and businessman Liang Feng in 2023. Liang also founded the $7bn hedge fund group High-Flyer with two university classmates in 2016.

In January, DeepSeek released the latest model of its programme, DeepSeek R1, which is a free AI-powered chatbot with a look and feel very similar to ChatGPT, owned by California-headquartered OpenAI.

AI chatbots are computer programmes which simulate human-style conversation with a user. Users can ask the bot questions and it then generates conversational responses using information it has access to on the internet and which it has been “trained” with.

Advertisement

Among a plethora of potential uses, these programmes can be used to solve mathematics problems, draft text such as emails and documents, and translate or write codes.

How does DeepSeek differ from ChatGPT and other similar programmes?

For one, its developers say, it is much, much cheaper to build.

DeepSeek sent shockwaves throughout AI circles when the company published a paper in December stating that “training” the latest model of DeepSeek – curating and in-putting the information it needs to answer questions – would require less than $6m-worth of computing power from Nvidia H800 chips.

This is only a small fraction of the multibillion-dollar AI budgets enjoyed by US tech giants such as OpenAI for ChatGPT and US-owned Google for Gemini. OpenAI CEO Sam Altman said that OpenAI’s latest programme, GPT-4, cost more than $100m to train, Wired reported in April 2023.

The new DeepSeek programme was released to the public on January 20. By January 27, DeepSeek’s app had already hit the top of Apple’s App Store chart. As a result, American multinational Nvidia, which holds a near-monopoly on making semiconductors for generative AI, lost nearly $600bn in market capitalisation when the share price plummeted by 17 percent.

Which countries are banning DeepSeek’s AI programme?

Some government agencies in several countries are seeking or enacting bans on the AI software for their employees. These include:

United States

The Wall Street Journal reported on Thursday that US lawmakers were planning to introduce a government bill to block DeepSeek from government-owned devices.

On January 31, US space agency NASA blocked DeepSeek from its systems and the devices of its employees. A week earlier, the US Navy warned its members in an email against using DeepSeek because of “potential security and ethical concerns associated with the model’s origin and usage”, CNBC reported.

South Korea

A spokesperson for South Korea’s Ministry of Trade, Industry and Energy announced on Wednesday that the industry ministry had temporarily prohibited DeepSeek on employees’ devices, also citing security concerns.

Officials said that the government had urged ministries and agencies on Tuesday to be careful about using AI programmes generally, including ChatGPT and DeepSeek.

This came after Seoul’s information privacy watchdog, the Personal Information Protection Commission, announced on January 31 that it would send a written request to DeepSeek for details about how the personal information of users is managed.

Advertisement

Korea Hydro & Nuclear Power, which is run by the South Korean government, said it blocked the use of AI services on its workers’ devices including DeepSeek last month.

Australia

The Australian government announced on Tuesday that it has blocked access to DeepSeek on all government devices, claiming there were “security risks”.

This ban was mandated for all government agencies in a Tuesday statement by the secretary of the Department of Home Affairs. The statement directed all government entities to “prevent the use or installation of DeepSeek products, applications and web services and where found remove all existing instances of DeepSeek products, applications and web services from all Australian Government systems and devices”.

Home Affairs Minister Tony Burke said that the ban was “to protect Australia’s national security and national interest”, Australian media outlets reported.

Italy

On January 30, the Italian Data Protection Authority (Garante) announced that it had ordered “the limitation on processing of Italian users’ data” by DeepSeek because of the lack of information about how DeepSeek might use personal data provided by users.

Two days before, the Garante had announced that it was seeking answers about how users’ data was being stored and handled by the Chinese startup.

Taiwan

On Monday, Taiwan blocked government departments from using DeepSeek programmes, also blaming security risks.

Why have some countries placed bans on the use of DeepSeek?

Most countries blocking DeepSeek programmes say they are concerned about the security risks posed by the Chinese application. They also say they do not have enough information about how the personal data of users will be stored or used by the group.

According to DeepSeek’s privacy policy, it collects the following data from users:

Personal information including email, phone number, password and date of birth, which are used to register for the application.

Chat history in the application, including text or audio that the user inputs into the chatbot.

Technical information about the user’s device and network, such as IP address, keystroke patterns and operating system.

It shares this information with service providers and advertising partners. This information is retained for “as long as necessary”, the company’s website states.

According to ChatGPT’s privacy policy, OpenAI also collects personal information such as name and contact information given while registering, device information such as IP address and input given to the chatbot “for only as long as we need”. This information may also be shared with OpenAI’s affiliates.

On Wednesday, ABC News cited a report by Ivan Tsarynny, CEO of Feroot Security, an Ontario-based cybersecurity firm which claimed that DeepSeek “has code hidden in its programming which has the built-in capability to send user data directly to the Chinese government”.

Tsarynny told ABC that the DeepSeek application is capable of sending user data to “CMPassport.com, the online registry for China Mobile, a telecommunications company owned and operated by the Chinese government”. Al Jazeera has not been able to independently verify this claim.

Is this an unusual practice?

“Virtually all major tech companies – from Meta to Google to OpenAI – exploit user data to some extent,” Eddy Borges-Rey, associate professor in residence at Northwestern University in Qatar, told Al Jazeera.

Advertisement

“They use data for targeted advertising, algorithmic refinement and AI training. Many have been fined or investigated for privacy breaches, but they continue operating because their activities are somewhat regulated within jurisdictions like the EU and the US,” he added.

Borges-Rey explained that Chinese platforms such as DeepSeek are “treated differently by the West because they are seen as operating under the jurisdiction of the Chinese government, which has laws [such as the National Intelligence Law] that theoretically allow state access to corporate data”.

He added, “Western governments fear that user data collected by Chinese platforms could be used for espionage, influence operations, or surveillance. Whether this is happening in practice is debatable, but the mere possibility is enough to justify bans from a national security perspective.”

By contrast, Western applications are not perceived as a national security threat by Western governments. “Western companies are often seen as problematic but fixable through regulation, whereas Chinese companies are seen as direct security threats requiring bans.”

In 2023, ChatGPT set off concerns that it had breached the European Union General Data Protection Regulation (GDPR). On April 1, Italy temporarily blocked the service for all users in the country. On April 28, 2023, ChatGPT was restored in Italy and OpenAI said it had “addressed or clarified” the issues raised by the Garante. The Garante told the BBC that it “welcomed the measures OpenAI implemented”.

Are there concerns about the use of AI beyond security?

Besides security and privacy concerns, there have been other concerns about the use of chatbots in workplace and academic settings, said Nayana Prakash, research fellow on the international security programme at London-based Chatham House. “From fears about bias to copyright breaches to the impact of LLMs [large language models] on many forms of original content.”

For its part, China blocks access to Western technology companies including X, Facebook and even ChatGPT for all users in the country.","{'neg': 0.04, 'neu': 0.91, 'pos': 0.05, 'compound': 0.8846}",0.8846
DeepSeek_just_blew_up_the_AI_industry’s_narrative_.txt,"A version of this story appeared in CNN Business’ Nightcap newsletter. To get it in your inbox, sign up for free here.

New York CNN —

The story of AI in the 2020s has gone something like this:

Sam Altman: Look, a toy that can write your book report.

Look, a toy that can write your book report. VCs: This will fix everything!

This will fix everything! Doomers: This will ruin everything.

This will ruin everything. Tech: We need money!

We need money! Everyone else: Could we maybe not destroy the environment over this?

Could we maybe not destroy the environment over this? Tech: Let’s restart Three Mile Island.

Let’s restart Three Mile Island. Tech: We need money!

We need money! Wall Street: Where’s our return?

Where’s our return? Tech: (Chants) More power! More power! More power!

And finally, in the year 2025, here comes DeepSeek to blow up the industry’s whole narrative about AI’s bottomless appetite for power, and potentially break the spell that had kept Wall Street funneling money to anyone with the words “harnessing artificial intelligence” in their pitch deck.

ICYMI: DeepSeek dropped a bomb known as R1 that’s got all of Silicon Valley and much of Wall Street in a tizzy.

The Chinese company’s large language model is basically a cheaper, more efficient ChatGPT, built on a fraction of OpenAI’s budget and using far fewer chips than any other leading chatbot.

“That is a massive earthquake in the AI sector,” Gil Luria, head of tech research at investment group D.A. Davidson, told me. “Everybody is looking at it and saying, ‘We didn’t think this is possible. And since it is possible, we have to rethink everything that we have been planning.’”

Suddenly, all that money and computing power that the Sam Altmans, Mark Zuckerbergs and Elon Musks have been saying are crucial to their AI projects — and thus America’s continued leadership in the industry — may end up being wildly overblown.

DeepSeek, which on Monday climbed to No. 1 on the Apple app store, claims to have built its base model for less than $6 million (versus the more than $100 million Altman has said it cost to build GPT-4).

It also claims to have used just 2,000 Nvidia chips that it obtained before US export restrictions were put in place. (OpenAI says it used 25,000 of the more powerful Nvidia H100 chips to build GPT-4.)

It’s awkward timing for the Trump administration, which last week announced a half-trillion-dollar private-sector investment to build more data centers and keep the United States ahead of China in the AI race. (Oops!)

And it’s incredibly bad news for Nvidia, the American chip maker powering the AI gold rush. Nvidia shares sank 17% Monday, shedding $600 billion in market cap in a single session — the biggest one-day loss for a single stock in history. Alphabet, Microsoft, Oracle, TSMC and plenty of others sank, and because tech stocks are so dominant, that dragged the broader stock market down, too.

The tech-heavy Nasdaq plunged by 3% and the broader S&P 500 fell 1.5%. (The Dow, buoyed by health care and consumer companies, ended the day up less than 1%.)

AI is over, long live AI

Of course, one bad day on Wall Street does not an apocalypse make. (That’s for later, when one of these AI labs creates superintelligent murder bots. Kidding! Kind of.)

But DeepSeek is forcing investors to take a beat and question tech companies’ assumptions. By its own reasoning, the AI industry needed to keep increasing “compute” (or computational power), which meant buying tens of thousands of Nvidia’s state-of-the-art chips and building giant data centers.

“DeepSeek makes it very clear that that the current trajectory of scaling up of data centers is highly unlikely to be economic to Nvidia’s customers,” Luria said.

The AI industry, and OpenAI in particular, has been going down two paths at once.

There’s the business of designing AI models with better algorithms and sounder reasoning — the kind of stuff that requires “finesse, as opposed to brute force,” Luria says. And then there’s the Stargate path of giant energy investments.

The first task is still “valid and important,” while the second path looks “ridiculous,” Luria said. “DeepSeek makes it clear that that scale and that spend would be, at the very least, wasteful.”

In other words, AI isn’t dead. But the landscape is shifting faster than anyone, perhaps most of all Nvidia, expected.

Picks and shovels

Nvidia has become the ultimate “picks and shovels” play on Wall Street, transforming it into a $3 trillion company in the span of a couple of years. Up until now, the demand for Nvidia chips appeared boundless — tech companies were going to keep gobbling them up faster than Nvidia could produce them.

But if DeepSeek really did manage to build a ChatGPT competitor using a handful of old processors, then maybe Nvidia’s tech customers soon won’t need as many as they’d thought. Many on Wall Street seemed to think so Monday as the stock went into a tailspin. (For its part, Nvidia seemed to shrug at the selloff in a statement to Bloomberg, calling DeepSeek’s model an “excellent AI advancement” that “illustrates how new models can be created.”)

It’s also good to keep in mind that Wall Street is prone to tantrums, which is how some tech investors chalked up Monday’s selloff.

“At the end of the day, there is only one chip company in the world launching autonomous, robotics, and broader AI use cases, and that is Nvidia,” Wedbush analysts wrote in a letter to clients. “Launching a competitive LLM model for consumer use cases is one thing… launching broader AI infrastructure is a whole other ballgame, and nothing with DeepSeek makes us believe anything different.”","{'neg': 0.03, 'neu': 0.924, 'pos': 0.046, 'compound': 0.9271}",0.9271
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested.txt,"OpenAI says it is reviewing evidence that the Chinese start-up DeepSeek broke its terms of service by harvesting large amounts of data from its A.I technologies.

The San Francisco-based start-up, which is now valued at $157 billion, said that DeepSeek may have used data generated by OpenAI technologies to teach similar skills to its own systems.

This process, called distillation, is common across the A.I. field. But OpenAI’s terms of service say that the company does not allow anyone to use data generated by its systems to build technologies that compete in the same market.

“We know that groups in the P.R.C. are actively working to use methods, including what’s known as distillation, to replicate advanced U.S. A.I. models,” OpenAI spokeswoman Liz Bourgeois said in a statement emailed to The New York Times, referring to the People’s Republic of China.","{'neg': 0.027, 'neu': 0.923, 'pos': 0.051, 'compound': 0.5425}",0.5425
They_Invested_Billions._Then_the_A.I._Script_Got_F.txt,"Jordan Jacobs, an investor at the venture capital firm Radical Ventures, has spent the last few days fielding half a dozen calls from his firm’s investors. All of them wanted to know about DeepSeek, a Chinese artificial intelligence app that topped the app stores over the weekend.

DeepSeek had created a powerful A.I. model with far less money than most A.I. experts thought possible, upending many assumptions underlying the development of the fast-evolving technology. To calm the panic, Mr. Jacobs said he explained to his investors that Radical Ventures had long invested in more efficient A.I. models, similar to the one made by DeepSeek.

“Let’s focus on the companies who are actually building real businesses, rather than the ones that are chasing science fiction,” Mr. Jacobs said he told them.

Nvidia, Google, Meta and other giant tech companies have faced a barrage of questions about DeepSeek since last week as the Chinese start-up toppled longstanding notions about A.I. But its repercussions are being felt beyond the largest firms, reaching into the venture capital industry that has bet big on the technology by plowing billions of dollars into A.I. start-ups.","{'neg': 0.011, 'neu': 0.931, 'pos': 0.058, 'compound': 0.7349}",0.7349
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f.txt","Hong Kong CNN —

Chinese internet search giant Baidu will make its advanced AI chatbot services free, as competition heats up among global developers following the surging popularity of startup DeepSeek’s models.

Ernie Bot, the Beijing-based company’s AI chatbot with premium features like AI painting, will be available to both mobile and desktop users at no cost starting from April 1, it posted on WeChat on Thursday.

Just hours before Baidu’s announcement, OpenAI CEO Sam Altman announced the roadmap of its newest AI model, GPT-5, on X. He said ChatGPT users will have unlimited access to GPT-5 free of charge, though paid subscribers will be able to access a “higher level of intelligence.”

On Friday, Baidu said in another post that it plans to launch the next generation of its AI model by the end of June. And for the first time, it would make that edition of the model open source, like all of DeepSeek’s models.

It added that Ernie’s Deep Search function, featuring enhanced reasoning capabilities and expert-level responses, will also launch for free in April.

The successive announcements reflect the squeeze that Baidu and other firms face in the intensifying AI race in China, particularly following DeepSeek’s recent release. The Chinese startup’s latest R1 AI model stunned the world by delivering comparable performance to US-based industry behemoths at significantly lower cost.

Baidu’s Hong Kong-listed stock jumped as much as 12% on Thursday and last traded around 95 Hong Kong dollars ($12.20) per share on Friday. A component of the Hang Seng China Enterprises Index, it has helped power the index up 20% since January.

ChatGPT’s debut in late 2022 enraptured the globe overnight and sent Chinese tech giants scrambling for a homegrown alternative. Baidu was one of the leading contenders in China’s AI scene, releasing its answer to ChatGPT within four months and was ahead of other established tech heavy weights like Tencent and Alibaba.

But Baidu has trailed behind competitors like ByteDance’s Doubao in terms of popularity and the number of active users. Alibaba says Apple had chosen to work with it to roll out its AI functions in China after considering multiple Chinese AI firms, including Baidu.

Lots of contenders

China’s OG tech giants have lost the AI limelight in recent months to emerging startups like DeepSeek and Beijing-based Moonshot AI, which have released models that punch above their weight.

Moonshot AI first launched its ChatGPT equivalent, Kimi, late last year. It was the third-most visited AI Chatbot in China after DeepSeek and Doubao in January, according to aircpb.com, an AI product tracker.

Other promising Chinese AI companies include Zhipu AI, a startup originating from Beijing’s prestigious Tsinghua University. Based in the Chinese capital, Zhipu is backed by Tencent and Alibaba and has strong government ties. The US Commerce Department last month added Zhipu to its “Entity List,” accusing the company of supporting the Chinese military, which it has denied.

Most major AI large language models — including Ernie Bot, OpenAI’s ChatGPT and American startup Anthropic’s Claude — have offered their basic chatbot services for free.

ChatGPT debuted without charging before it began to offer premium features on subscription.

In 2023, Baidu launched paid premium functions for its AI service, including its text to image generator, charging users from up to 59.9 yuan ($8.2) a month. Ernie Bot has amassed 430 million users as of November 2024, according to Baidu.","{'neg': 0.022, 'neu': 0.888, 'pos': 0.09, 'compound': 0.9884}",0.9884
DeepSeek_banned_from_Australian_government_devices.txt,"DeepSeek will be banned from all federal government devices as the Albanese government cracks down on the Chinese AI chatbot, citing unspecified national security risks.

The launch of DeepSeek’s AI generative chatbot rocked US tech stocks last week amid concerns about censorship and data security.

The home affairs department secretary signed a directive on Tuesday banning the program from all federal government systems and devices on national security grounds after advice from intelligence agencies that it posed an unacceptable risk.

The home affairs minister, Tony Burke, said the decision had not been taken because of the app’s country of origin – China – but because of its risk to the government and its assets.

1:23 How ChatGPT, Gemini and DeepSeek deal with Tiananmen Square and Taiwan questions – video

“The Albanese government is taking swift and decisive action to protect Australia’s national security and national interest,” Burke said.

“AI is a technology full of potential and opportunity – but the government will not hesitate to act when our agencies identify a national security risk.”

Government departments and agencies will be required to report back to home affairs as soon as possible to ensure the app does not remain on any devices, and they are prevented from reinstalling it.

The decision comes almost two years after the Albanese government issued its government-wide ban on the Chinese social media app TikTok, citing “security and privacy” risks.

The science minister, Ed Husic, said in January he foresaw similar discussions happening about DeepSeek.

skip past newsletter promotion Sign up to Breaking News Australia Free newsletter Get the most important news as it breaks Enter your email address Sign up Privacy Notice: Newsletters may contain info about charities, online ads, and content funded by outside parties. For more information see our Newsletters may contain info about charities, online ads, and content funded by outside parties. For more information see our Privacy Policy . We use Google reCaptcha to protect our website and the Google Privacy Policy and Terms of Service apply. after newsletter promotion

“I think people will naturally gravitate towards that,” he said. “I think there’ll be parallels to what you’ve seen with discussion around TikTok that emerge around DeepSeek as well.”

Australia is the latest country to ban DeepSeek on government devices, after Taiwan, Italy and some federal US agencies moved to block the app.

This week the New South Wales government reportedly banned the app while other state governments were considering options.

A Guardian Australia analysis in January revealed that the chatbot did not provide responses to certain political events sensitive to the Chinese government.

Unlike other models – including OpenAI’s ChatGPT and Google’s Gemini – DeepSeek did not engage when asked about topics including Tiananmen Square and the Umbrella revolution. It said: “Sorry, that’s beyond my current scope. Let’s talk about something else.”

DeepSeek proved immediately popular on global app stores after launching in January.

On the day it launched, US$1tn was wiped from the leading US tech index.","{'neg': 0.058, 'neu': 0.822, 'pos': 0.12, 'compound': 0.9846}",0.9846
DeepSeek_AI_shakes_American_swagger_and_upends_ass.txt,"China's DeepSeek AI shakes industry and dents America's swagger

DeepSeek's developers say the chatbot was built at a fraction of the cost of rivals such as ChatGPT

The speed at which the new Chinese AI app DeepSeek has shaken the technology industry, the markets and the bullish sense of American superiority in the field of artificial intelligence (AI) has been nothing short of stunning.

Venture capitalist Marc Andreessen may have said it best. ""DeepSeek-R1 is AI's Sputnik moment,"" he posted to X on Sunday, referring to the satellite which kicked off the space race.

DeepSeek was the most downloaded free app on Apple's US App Store over the weekend. By Monday, the new AI chatbot had triggered a massive sell-off of major tech stocks which were in freefall as fears mounted over America's leadership in the sector.

Shares of AI chip designer and recent Wall Street darling Nvidia, for example, had plunged by 17% by the time US markets closed on Monday. Or to put it in even starker terms, it lost nearly $600bn in market value which, according to Bloomberg, is the biggest drop in the history of the US stock market.

This extraordinary, historic spooking can largely be attributed to something as simple as cost. And a claim by DeepSeek's developers which prompted serious questions in Silicon Valley.

While ChatGPT-maker OpenAI has been haemorrhaging money - spending $5bn last year alone - DeepSeek's developers say it built this latest model for a mere $5.6m.

That is a tiny fraction of the cost that AI giants like OpenAI, Google, and Anthropic have relied on to develop their own models.

As this dramatic moment for the sector played out, there was a palpable silence in many corners of Silicon Valley when I contacted those who are usually happy to talk. Many observers, investors, and analysts appeared stunned.

Some wondered if this marked a buying opportunity. Others questioned the information DeepSeek was providing.

""I still think the truth is below the surface when it comes to actually what's going on,"" veteran analyst Gene Munster told me on Monday. He questioned the financials DeepSeek is citing, and wondered if the startup was being subsidised or whether its numbers were correct.

The chatbot is ""surprisingly good, which just makes it hard to believe"", he said.

Regardless, DeepSeek's sudden arrival is a ""flex"" by China and a ""black eye for US tech,"" to use his own words.

It was just last week, after all, that OpenAI's Sam Altman and Oracle's Larry Ellison joined President Donald Trump for a news conference that really could have been a press release.

The event represented peak American bullishness on AI.","{'neg': 0.041, 'neu': 0.874, 'pos': 0.085, 'compound': 0.9774}",0.9774
What_Is_AI_Distillation?.txt,"This is Atlantic Intelligence, a newsletter in which our writers help you wrap your mind around artificial intelligence and a new machine age. Sign up here.

OpenAI has said that it believes that DeepSeek, the Chinese start-up behind the shockingly powerful AI model that launched last month, may have ripped off its technology. The irony is rich: We’ve known for some time that generative AI tends to be built on stolen media—books, movie subtitles, visual art. The companies behind the technology don’t seem to care much about the creatives who produced that training data in the first place; Sam Altman said early last year that it would be “impossible” to make powerful AI tools without copyrighted material, and that he feels the law is on his side.

If DeepSeek did indeed rip off OpenAI, it would have done so through a process called “distillation.” As Michael Schuman explained in an article for The Atlantic this week, “In essence, the firm allegedly bombarded ChatGPT with questions, tracked the answers, and used those results to train its own models. When asked ‘What model are you?’ DeepSeek’s recently released chatbot at first answered ‘ChatGPT’ (but it no longer seems to share that highly suspicious response).” In other words, DeepSeek is impressive—about as capable as other cutting-edge models, and developed at a much lower cost—but it may be so only because it was effectively built on top of existing work. (DeepSeek did not respond to Schuman’s request for comment.)

“What DeepSeek is accused of doing is nothing like hacking, but it’s still a violation of OpenAI’s terms of service,” Schuman writes. “And if DeepSeek did indeed do this, it helped the firm to create a competitive AI model at a much lower cost than OpenAI.” (The Atlantic recently entered into a corporate partnership with OpenAI.) Whether or not DeepSeek distilled OpenAI’s technology, others will likely find a way to do the same thing. We may be approaching the era of the AI copycat. For a time, it took immense wealth—not to mention energy—to train powerful new AI models. That may no longer be the case.

Illustration by The Atlantic

DeepSeek and the Truth About Chinese Tech

By Michael Schuman

When the upstart Chinese firm DeepSeek revealed its latest AI model in January, Silicon Valley was impressed. The engineers had used fewer chips, and less money, than most in the industry thought possible. Wall Street panicked and tech stocks dropped. Washington worried that it was losing ground in a vital strategic sector. Beijing and its supporters concurred: “DeepSeek has shaken the myth of the invincibility of U.S. high technology,” one nationalist commentator, Hu Xijin, crowed on Chinese social media. Then, however, OpenAI, which operates ChatGPT, revealed that it was investigating DeepSeek for having allegedly trained its chatbot using ChatGPT. China’s Silicon Valley–slayer may have mooched off Silicon Valley after all.

Read the full article.

What to Read Next","{'neg': 0.081, 'neu': 0.831, 'pos': 0.088, 'compound': 0.1143}",0.1143
