Word,Frequency,Sentiment Score
excellent,4,1.0
impressed,6,1.0
perfectly,1,1.0
magnificent,5,1.0
impressive,29,1.0
perfect,1,1.0
best,28,1.0
incredibly,2,0.9
incredible,5,0.9
beautifully,1,0.85
happy,3,0.8
joy,1,0.8
proudly,1,0.8
greatly,2,0.8
happily,1,0.8
win,23,0.8
intelligent,5,0.8
attractive,1,0.8
great,32,0.8
experienced,1,0.8
welcome,5,0.8
elect,1,0.8
proud,2,0.8
remarkable,2,0.75
successfully,2,0.75
bright,3,0.7000000000000001
fascinating,1,0.7
heroic,1,0.7
cheery,1,0.7
superior,2,0.7
good,66,0.7
surprisingly,4,0.7
talented,3,0.7
fairly,2,0.7
surprising,1,0.7
beloved,1,0.7
delighted,1,0.7
exceptional,1,0.6666666666666666
amazing,7,0.6000000000000001
catching,1,0.6
adept,1,0.6
apt,1,0.6
kind,17,0.6
unprecedented,1,0.6
popular,14,0.6
abundantly,1,0.6
abundant,2,0.6
effective,1,0.6
spectacular,2,0.6
honestly,1,0.6
effectively,3,0.6
own,9,0.6
controversial,2,0.55
challenging,1,0.5
supportive,1,0.5
energetic,1,0.5
wealthy,6,0.5
prominent,7,0.5
healthy,1,0.5
innovative,5,0.5
safe,5,0.5
sophisticated,4,0.5
sympathetic,1,0.5
stunningly,1,0.5
love,1,0.5
striking,1,0.5
mostly,5,0.5
plausible,1,0.5
creative,6,0.5
sure,11,0.5
sexual,1,0.5
notably,3,0.5
grand,2,0.5
worthwhile,1,0.5
better,1,0.5
meaningful,2,0.5
meaningfully,2,0.5
ok,3,0.5
gladly,1,0.5
confident,2,0.5
reputable,1,0.5
stunning,3,0.5
creatively,1,0.5
able,48,0.5
interesting,2,0.5
surely,3,0.5
glad,1,0.5
top,66,0.5
okay,3,0.5
many,101,0.5
famous,3,0.5
notable,6,0.5
magical,1,0.5
pivotal,4,0.5
iconic,2,0.5
competent,1,0.5
precious,1,0.5
favorite,1,0.5
easy,7,0.43333333333333335
easily,1,0.43333333333333335
strongly,4,0.4333333333333333
strong,19,0.4333333333333333
fine,6,0.4166666666666667
accurate,1,0.4000000000000001
huge,24,0.4000000000000001
accurately,3,0.4000000000000001
hugely,5,0.4000000000000001
genuine,2,0.4
confirmed,2,0.4
autonomous,4,0.4
enjoy,5,0.4
light,2,0.4
cheaply,6,0.4
fit,3,0.4
autonomously,2,0.4
primarily,3,0.4
precisely,3,0.4
primary,5,0.4
justified,1,0.4
relevant,5,0.4
precise,4,0.4
freely,6,0.4
smoothly,1,0.4
detailed,11,0.4
free,86,0.4
important,16,0.4
cheap,47,0.4
advanced,38,0.4
secure,7,0.4
guarded,1,0.4
genuinely,1,0.4
sound,8,0.4
available,30,0.4
rich,6,0.375
familiar,11,0.375
original,6,0.375
uniquely,1,0.375
straightforward,2,0.375
unique,2,0.375
significantly,15,0.375
excited,1,0.375
accessible,8,0.375
originally,2,0.375
significant,33,0.375
poetic,1,0.375
clean,4,0.3666666666666667
special,1,0.35714285714285715
sweet,1,0.35
cool,3,0.35
true,17,0.35
full,13,0.35
extraordinary,4,0.3333333333333333
bold,2,0.3333333333333333
tremendous,3,0.3333333333333333
worthy,1,0.3333333333333333
quickly,29,0.3333333333333333
quick,6,0.3333333333333333
super,6,0.3333333333333333
calm,2,0.30000000000000004
intriguing,1,0.30000000000000004
fresh,4,0.3
golden,2,0.3
vocational,1,0.3
rarely,3,0.3
useful,2,0.3
success,36,0.3
powerful,59,0.3
rare,4,0.3
intellectual,6,0.3
distinct,1,0.3
fun,2,0.3
worth,6,0.3
colossal,1,0.3
economically,2,0.3
gamechanger,1,0.3
rightly,1,0.2857142857142857
right,27,0.2857142857142857
hot,6,0.25
exact,2,0.25
firstly,1,0.25
comic,1,0.25
funny,1,0.25
exactly,16,0.25
aware,6,0.25
first,69,0.25
willing,3,0.25
ambitious,2,0.25
evidently,1,0.25
evident,1,0.25
peaceful,1,0.25
pretty,5,0.25
higher,4,0.25
interested,1,0.25
consistently,2,0.25
positive,15,0.22727272727272727
certain,14,0.21428571428571427
purely,6,0.21428571428571427
certainly,13,0.21428571428571427
smart,9,0.21428571428571427
large,82,0.21428571428571427
largely,5,0.21428571428571427
pure,1,0.21428571428571427
whole,14,0.2
intense,1,0.2
unusual,2,0.2
fast,12,0.2
really,57,0.2
promising,4,0.2
gentle,1,0.2
thanks,6,0.2
absolute,3,0.2
absolutely,2,0.2
modern,2,0.2
reasonable,3,0.2
real,23,0.2
ready,3,0.2
economic,21,0.2
much,114,0.2
capable,19,0.2
straight,4,0.2
readily,1,0.2
ethical,5,0.2
reasonably,1,0.2
legal,9,0.2
responsible,2,0.2
steady,6,0.16666666666666666
vibrant,1,0.16666666666666666
mainly,6,0.16666666666666666
particular,11,0.16666666666666666
main,6,0.16666666666666666
clever,8,0.16666666666666666
particularly,22,0.16666666666666666
high,46,0.16
highly,8,0.16
concrete,2,0.15000000000000002
normal,2,0.15
new,183,0.13636363636363635
newly,4,0.13636363636363635
live,14,0.13636363636363635
clearly,7,0.10000000000000002
clear,20,0.10000000000000002
wild,2,0.1
early,25,0.1
soft,1,0.1
near,5,0.1
old,11,0.1
nearly,22,0.1
naturally,2,0.1
action,17,0.1
frequently,1,0.1
completely,9,0.1
wow,2,0.1
loud,2,0.1
young,14,0.1
considerable,1,0.1
wildly,1,0.1
marked,1,0.1
unexpected,4,0.1
dim,1,0.1
natural,4,0.1
vital,4,0.1
directly,8,0.1
alive,1,0.1
literary,1,0.1
modest,2,0.1
developed,3,0.1
complete,7,0.1
far,65,0.1
professional,2,0.1
cultural,6,0.1
sensitive,27,0.1
linguistic,1,0.1
busy,2,0.1
mature,2,0.1
direct,6,0.1
considerably,1,0.1
surprised,3,0.1
profoundly,1,0.08333333333333333
profound,9,0.08333333333333333
major,33,0.0625
broadly,4,0.0625
broad,8,0.0625
general,21,0.05000000000000002
generally,5,0.05000000000000002
apparently,12,0.05
apparent,6,0.05
barely,3,0.05
social,28,0.03333333333333333
vacuum,1,-0.008333333333333333
absence,2,-0.0125
flat,1,-0.025
monkey,1,-0.05
excuse,2,-0.05
gargantuan,1,-0.05
stumble,2,-0.05
strange,2,-0.05
long,43,-0.05
characteristic,1,-0.06666666666666667
single,15,-0.07142857142857142
limited,12,-0.07142857142857142
victim,5,-0.07500000000000001
loosely,1,-0.07692307692307693
unknown,7,-0.1
wide,7,-0.1
careful,6,-0.1
unanswered,1,-0.1
mental,3,-0.1
propaganda,7,-0.1
drag,1,-0.1
center,60,-0.1
distant,2,-0.1
carefully,2,-0.1
minimal,2,-0.1
wet,1,-0.1
military,13,-0.1
widely,14,-0.1
spent,11,-0.1
roughly,18,-0.1
curious,2,-0.1
allegedly,3,-0.1
jail,1,-0.1
closed,3,-0.1
due,28,-0.125
sharply,6,-0.125
sharp,3,-0.125
extreme,1,-0.125
foreign,5,-0.125
extremely,4,-0.125
abruptly,1,-0.125
imitation,1,-0.13333333333333333
actively,4,-0.13333333333333333
active,5,-0.13333333333333333
conventional,3,-0.14285714285714285
average,6,-0.15
dark,4,-0.15
down,1,-0.15555555555555559
slightly,1,-0.16666666666666666
black,4,-0.16666666666666666
half,14,-0.16666666666666666
typically,14,-0.16666666666666666
subject,14,-0.16666666666666666
previous,10,-0.16666666666666666
previously,17,-0.16666666666666666
typical,3,-0.16666666666666666
hidden,1,-0.16666666666666666
less,108,-0.16666666666666666
unpredictable,1,-0.16666666666666666
mess,2,-0.175
tight,1,-0.17857142857142858
tightly,1,-0.17857142857142858
little,12,-0.1875
firm,134,-0.2
humble,1,-0.2
everyday,1,-0.2
green,1,-0.2
heavily,10,-0.2
dead,1,-0.2
uneven,1,-0.2
boundless,1,-0.2
starkly,1,-0.2
firmly,1,-0.2
heavy,3,-0.2
trouble,4,-0.2
destroy,2,-0.2
narrow,2,-0.2
few,28,-0.2
stark,1,-0.2
round,2,-0.2
raw,3,-0.23076923076923078
small,33,-0.25
ordinary,2,-0.25
usually,5,-0.25
past,39,-0.25
alien,1,-0.25
anxious,1,-0.25
usual,5,-0.25
hardly,2,-0.2916666666666667
hard,13,-0.2916666666666667
commonly,1,-0.3
rude,1,-0.3
late,63,-0.3
wonky,1,-0.3
negative,4,-0.3
complained,1,-0.3
complex,20,-0.3
least,26,-0.3
common,7,-0.3
slow,11,-0.30000000000000004
mean,70,-0.3125
failure,1,-0.3166666666666667
ridiculous,1,-0.3333333333333333
seriously,5,-0.3333333333333333
serious,9,-0.3333333333333333
shallow,1,-0.3333333333333333
tense,1,-0.3333333333333333
arduous,1,-0.35
weak,1,-0.375
dumb,1,-0.375
tough,6,-0.3888888888888889
behind,41,-0.4
fuck,1,-0.4
broken,1,-0.4
farce,1,-0.4
game,15,-0.4
criminal,1,-0.4
approximately,1,-0.4
secret,2,-0.4
thin,1,-0.4
false,4,-0.4000000000000001
